epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
115,11062.8,0.70727,0.43117,0.81637,0.99859,1,0.995,0.85932,0.59384,0.35996,0.78504,0.0004952,0.0004952,0.0004952
116,11171.5,0.72923,0.43408,0.82512,0.99854,1,0.995,0.81344,0.70944,0.37556,0.79309,0.000482,0.000482,0.000482
117,11304.8,0.71685,0.43273,0.82464,0.99852,1,0.995,0.84051,0.66627,0.3617,0.79093,0.0004688,0.0004688,0.0004688
118,11396.5,0.69215,0.42281,0.8148,0.99855,1,0.995,0.86214,0.58384,0.34169,0.78465,0.0004556,0.0004556,0.0004556
119,11488.5,0.73643,0.45195,0.83343,0.99857,1,0.995,0.86856,0.58322,0.34367,0.7851,0.0004424,0.0004424,0.0004424
120,11571.5,0.66511,0.409,0.81784,0.99859,1,0.995,0.8495,0.61302,0.35659,0.78651,0.0004292,0.0004292,0.0004292
121,11653.8,0.69127,0.42482,0.82708,0.99857,1,0.995,0.86121,0.58385,0.35712,0.78407,0.000416,0.000416,0.000416
122,11737.7,0.70732,0.43391,0.82468,0.99852,1,0.995,0.87448,0.56572,0.34283,0.78251,0.0004028,0.0004028,0.0004028
123,11814.2,0.75299,0.43765,0.8235,0.99848,1,0.995,0.87515,0.56112,0.34226,0.78238,0.0003896,0.0003896,0.0003896
124,11897,0.66803,0.41126,0.81415,0.99848,1,0.995,0.84433,0.64517,0.35442,0.78734,0.0003764,0.0003764,0.0003764
125,11979.1,0.65056,0.40101,0.81553,0.99853,1,0.995,0.83416,0.64506,0.35161,0.78809,0.0003632,0.0003632,0.0003632
126,12049.7,0.65454,0.40515,0.81644,0.99853,1,0.995,0.86265,0.56957,0.33953,0.784,0.00035,0.00035,0.00035
127,12126.3,0.65731,0.40709,0.81389,0.99855,1,0.995,0.86002,0.58754,0.34566,0.78343,0.0003368,0.0003368,0.0003368
